ID,Volume,Part,Page,Date,Date_cleaned,Date_certainty,Author,Author_certainty,Author_Wkdt,sex or gender,VIAF cluster ID,Title,Imprint,Quotation,Headnote,Index_category,language
part4_p101_a5,Vol.3,Part IV,p101,1798.,1798,high,"D'Israeli, Isaac.",high,Isaac D'Israeli,male,37165645,"Curiosities of Literature,","4th edn., 2 vols., 1798; vol. i, p. 479; vol. ii, p. 40. (14th edn., 3 vols., 1849, vol. i. pp. 248, 363.)","[vol. i,
Anecdotes of Fashion.
p. 479]
[Chaucer on prelates' dress quoted.]
[vol. ii,
[This section is headed as follows :]
A Literary Wife.
p. 40]
Marriage is such a rabble rout
That those that are out, would fain get in;
And those that are in, would fain get out.
Chaucer.",,,en
part4_p102_a1,Vol.3,Part IV,p102,1798.,1798,high,Unknown; and Wiccamicus.,high,Unknown; and Wiccamicus.,male,,"Review and Letter,","[in] The Gentleman’s Magazine, Oct., vol. lxviii, pp. 862-4, 38-9","[Saxon words in Chaucer; modernizations, etc.]",,,en
part4_p102_a2,Vol.3,Part IV,p102,1799.,1799,high,"Gilpin, John; An Architect, and Unknown.",high,"Gilpin, John; An Architect, and Unknown.",male,,"Articles, etc.,","[in] The Gentleman's Magazine, March, Aug., Dec., vol. lxix, pp. 180, 670, 1040.",[Brief reference; Chaucer's tomb; Donnington.],,,en
part4_p102_a3,Vol.3,Part IV,p102,1800.,1800,high,"Brydges, Sir Samuel Egerton.",high,"Sir Samuel Egerton Brydges, 1st Bt.",male,27405359,"Preface to Phillips’ Theatrum Poetarum,","pp. xlvii-viii, lvi, lix.",[Chaucer’s innate superiority to his contemporaries.],,,en
part4_p102_a4,Vol.3,Part IV,p102,1800.,1800,high,"Fox, Charles James.",high,Charles James Fox,male,39462521,"Letter to Charles Grey,","[dated] Friday [no month] 1800, [in] Memorials of C. J. Fox, 1854, vol. iii, pp. 310-11.","In defence of my opinion about the nightingales, I find
Chaucer, who of all poets seems to have been fondest of the
singing of birds, calls it a merry note.",,"criticism,qualities,loveNature",en
part4_p102_a5,Vol.3,Part IV,p102,1800.,1800,high,"[Mathias, Thomas James.]",medium,Thomas James Mathias,male,44371590,The Pursuits of Literature.,"[This note is dated Nov. 1800 in the collected edn. of 1812 (p. 359); it is here quoted from the 11th edn., 1801, pp. 441-2.","[Quotation from the Hous of Fame.]
[For other extracts from The Pursuits of Literature, see above, pt. i, 1794, p. 495,
and App. A, 1794 and 1797.]",,,en
part4_p102_a6,Vol.3,Part IV,p102,1800.,1800,high,Unknown.,low,Unknown,,,"Letter,","[in] The Gentleman's Magazine, April, vol. lxx, p. 336.","[Quotation from Antient Scottish Poems; Gower preferred
to Chaucer in their own time.]",,,en
part4_p102_a7,Vol.3,Part IV,p102,1800.,1800,high,"Wordsworth, William.",high,William Wordsworth,male,35723133,"Lyrical Ballads, with other Poems,","preface, p. xii n. (Prose Works, ed. W. Knight, 2 vols., 1896, vol. i, p. 49 n.)","It is worth while here to observe, that the affecting parts
of Chaucer are almost always expressed in language pure
and universally intelligible to this day.—W. W., 1800.",[This preface did not appear in the first edition of 1798.],"criticism,language,refiningEnglish",en
part4_p102_a8,Vol.3,Part IV,p102,1803.,1803,high,"Leyden, John.",high,John Leyden,male,54362232,"Scenes of Infancy,","pt. ii. pp. 45-6; notes, pp. 165, 176.",[Chaucer and the daisy.],,,en
part4_p103_a1,Vol.3,Part IV,p103,1807.,1807,high,"Beloe, William.",high,William Beloe,male,32777686,"Anecdotes of Literature,","vol. ii, pp. 367-8. [For vol. vi, see above, pt. ii.]","[The Knightes Tale and Troilus based on Boccaccio's
Teseide and Filostrato; Chaucer the inventor of the rhyme¬
royal stanza.]",,,en
part4_p103_a2,Vol.3,Part IV,p103,1809.,1809,high,"Dibdin, Thomas Frognall.",high,Thomas Frognall Dibdin,male,71478954,"The Bibliomania,",p. 52 n.,[Pynson’s Chaucer sold at Dr. Askew’s sale.],"[There are many new allusions in the greatly enlarged edition of 1811, q.v. below.]","bibliography,,",en
part4_p103_a3,Vol.3,Part IV,p103,1810.,1810,high,"Scott, Sir Walter.",high,Walter Scott,male,95207079,"The Lady of the Lake,",p. 196 n.,"[Quotation from “The Coke’s Tale of Gamlyn, ascribed to
Chaucer.”]",,,en
