ID,Volume,Part,Page,Date,Date_cleaned,Date_certainty,Author,Author_certainty,Author_Wkdt,sex or gender,VIAF cluster ID,Title,Imprint,Quotation,Headnote,index_category,language
part5_p147_a2,Vol.3,Part V,p147,1867.,1867,high,"Lemcke, Ludwig.",high,Ludwig Lemcke,male,64769607,"Kritische Anzeigen: Zur Literatur über Chaucer,","[in] Jahrbuch für romanische und englische Litteratur, Leipzig, 1867, Band viii, Heft 1, pp. 94-110.","[A long and careful review of recent Chaucer work; i.e.
Chaucer's Poetical Works, Bell and Daldy, 1867, 6 vols.;
Hertzberg’s translation of the Canterbury Tales, 1866, and
Kissner's book on Chaucer's relation to Italian literature,
1867.]",,,de
part5_p147_a3,Vol.3,Part V,p147,1867.,1867,high,"Mätzner, Eduard.",high,Eduard Maetzner,male,41930160,Altenglische Sprachproben . . .,"unter Mitwirkung von Karl Goldbeck, Berlin. 1867, vol. i, part 1, pp.g 336-347. [For part 2 see below, 1869.]","[pp. 336-338. Notes on Chaucer's life and work.
pp. 338-343. The Wyf of Bathes Tale. 400 lines.
pp. 344-346. The Romaunt of the Rose. ll. 2721-2966.
p. 347. Rondel.  ‘Your two eyn will sle me sodenly.’]",,,de
part5_p147_a6,Vol.3,Part V,p147,1869.,1869,high,"Petzold, E.",high,Ernst Petzoldt,male,2138148037698188350007,"Ueber Alliteration in den Werken Chaucers, mit Ausschluss der Canterbury Tales,","Diss., Marburg.",,,,de
part5_p148_a2,Vol.3,Part V,p148,1871.,1871,high,"Zupitza, Julius.",high,Julius Zupitza,male,2540809,"Chaucer. The Book of the Tales of Caunterbury. Prolog (A 1-858). Mit Varianten zum Gebrauch bei Vorlesungen herausgegeben,","Marburg, 1871. Second edition, Berlin, 1882, reprinted 1896.",,,"works,canterburyTales,prologue",de
part5_p148_a3,Vol.3,Part V,p148,1872.,1872,high,"Lange, P.",high,"Lange, P.",male,,"Chaucer’s Einfluss auf die Originaldichtung des Schotten Gawain Douglas,","Diss., Leipzig.",,,,de
part5_p148_a4,Vol.3,Part V,p148,1872.,1872,high,"Mamroth, F.",high,Fedor Mamroth,male,27830093,"Geoffrey Chaucer, seine Zeit und seine Abhängigkeit von Boccaccio.",Berlin. 1872.,[Of little value.],,,de
part5_p148_a5,Vol.3,Part V,p148,1873.,1873,high,"Lechler, Gotthard.",high,Gotthard Victor Lechler,male,31986877,Johann von Wiclif und die Vorgeschichte der Reformation.,"vol. i, pp. 408, 409, 453, 454; vol. ii, p. 4 note 2.",,,,de
part5_p148_a6,Vol.3,Part V,p148,1875.,1875,high,"Lindner, F.",high,Ferdinand Lindner,male,96009178,Die Alliteration bei Chaucer,"[in] Jahrbuch für romanische und englische Litteratur, Neue Folge, Bd. ii, Leipzig, 1875, pp. 311-335.","[This paper, revised, altered and translated into English,
is in the Chaucer Society Essays, 1876, part III.]",,"criticism,verse,alliteration",de
part5_p149_a2,Vol.3,Part V,p149,1878.,1878,high,"Schoepke, O.",high,"Schoepke, Otto.",male,65021131,"Dryden's Uebertragungen Chaucer’s im Verhältniss zu ihren Originalen,","Diss., Halle.","[See also Schoepke in Anglia, ii, pp. 314-53, Dryden’s
Bearbeitungen Chaucerscher Gedichte.]",,"modernizations,particular,dryden",de
part5_p150_a10,Vol.3,Part V,p150-151,"1887, 1893 and 1905.","1887, 1893 and 1905",high,"Körting, Gustav.",high,Gustav Körting,male,14892003,"Grundriss der Geschichte der Englischen Litteratur,","Münster i. W., 1887, chap. viii, pp. 154-70.","[This work, containing a valuable Chaucer bibliography,giving references to most of the important German work
on Chaucer, was re-issued in 1893 somewhat enlarged, and
again in 1905, considerably enlarged and brought up to date.
In this last issue of 1905, the Chaucer bibliography is in
chap. 12, pp. 176-96.]",,,de
part5_p150_a2,Vol.3,Part V,p150,1880.,1880,high,"Koch, J.",high,John Koch,male,159027951,"Ausgewählte kleinere Dichtungen Chaucer's, im Versmaasse des Originals in das Deutsche übertragen, und mit Erörterungen versehen.",Leipzig.,"[Containing-Pity, Words to Adam, Parlement of Foules,
Truth, Gentilesse, Stedfastnesee, Fortune, Bukton, Scogan,
Purse.]",,"works,otherSeparateWorks,minorPoems",de
part5_p150_a3,Vol.3,Part V,p150,1880.,1880,high,"Schrader, K. A.",high,"Schrader, Karl August.",male,313441153,"Das altenglische Relativpronomen, mit besonderer Berücksichtigung der Sprache Chaucers,","Diss., Kiel.",,,,de
part5_p150_a4,Vol.3,Part V,p150,1881-1888.,1881-1888,high,"Schipper, Jacob.",high,Jakob Schipper,male,30333129,"Englische Metrik in historischer und systematischer Entwickelung dargestellt,","3 vols., Bonn, vol. i, Altenglische Metrik, 1881, ch. viii. Der gereimte fünftaktige, jambische Vers vor und bei Chaucer, pp. 434-483 [and many/ Chaucer references all through this volume].","[For references to reviews of the above, and for an excellent
brief summary of Schipper’s analysis of Chaucer’s verse, see
Chaucer, by E. P. Hammond, 1908, pp. 476-478.]",,"criticism,verse,miscellaneous",de
part5_p150_a5,Vol.3,Part V,p150,1883.,1883,high,"Lange, J. A. Max.",high,"Lange, J. A. Max.",male,,"Untersuchungen über Chaucer's Boke of the Duchesse,","Diss., Halle.",,,"works,otherSeparateWorks,bookDuchess",de
