ID,Volume,Page,Date,Author,Title,Imprint,Quotation,headnote
vol1_p12_a2,Vol.1,p12,"1391, July 12",,Indenture between Chaucer and Gedney as to the delivery of certain quantities of stone for the Works in Windsor Castle.,"Exchequer Accounts, Works, 502|10 (Kirk, 310).",,
vol1_p12_a3,Vol.1,p12,"1391, Oct.",,"A File of sixteen documents subsidiary to Chaucer's Account as Clerk of the Works, referring to repairs and works at Westminster, the Tower, Windsor, and elsewhere; and consisting of Writs, Indentures and Receipts between June 1389 and October 1391.","Exchequer Accounts, etc., Works, 502|10 (Kirk, 310-13; see also Trial-Forewords to parallel-text edition of Chaucer's minor poems, by F. J. Furnivall, Chaucer Soc., 1871, p. 132).",,
vol1_p12_a4,Vol.1,p12,"1391, Nov. 12",,"Mandate to the Exchequer to account with Chaucer as Clerk of the Works, and to pay whatever is due to him.","Exchequer Q. R. Memoranda Roll, Mich., 15 Ric. II, Brevia, roll 31 d (Kirk, 313).",,
vol1_p12_a5,Vol.1,p12,"1393, Jan. 9",,"Gift of £10, by the King to Chaucer, as a reward for his good service during the “present"" year.","Issue Roll, Mich., 16 Ric. II., m. 12 (Kirk, 315).",,
vol1_p12_a6,Vol.1,p12,"1393, May 22",,"Repayment to Chaucer of £66 13s. 4d., lent by him for the King’s Works","(see entry under April 6, 1391). Issue Roll, Easter, 16 Ric. II., m. 9 (Kirk, 316).",,
vol1_p12_a7,Vol.1,p12,"1394, Feb. 28",,Grant by the King to Chaucer of an annuity of £20.,"Patent Roll, 17 Ric. II, p. 2, m. 35 (Kirk, 316. Godwin, App. xxii).",,"[There are seventeen payments in all of this annuity on the following dates: Dec. 10, 1394; April [loan of £10], June 25 [loan of £10], Sept. 9 [loan of 26s. 8d.], Nov. 27, 1395; Mar. 1, Dec. 25, 1396 [loan ot £10]; July 2, Aug. 9 [two loans ot 100s. each], Oct. 26, 1397; June 4, July 24, 31, Aug. 23, Oct. 28, 1398 [loan of £I0]; Feb. 21, June 5, 1400; Kirk, 316-22, 326, 831. There are also two repayments by Chaucer, one of a loan of £10, repaid May 28, 1395, and one of 26s. 8d., repaid March 1, 1396; Kirk, 317, 310, 342.]"
vol1_p12_a8,Vol.1,p12,1395-6,,"Payment of money to Geoffrey Chaucer for Henry, Earl of Derby, at London, by the Clerk of the Earl’s Great Wardrobe.","Duchy of Lancaster Accounts (various), 1/5 (Kirk, 342).",,"[See History of Henry IV., by J. H. Wylie, App.]"
vol1_p12_a9,Vol.1,p12,"1396, April 6",,"Deed by Gregory Ballard, appointing Chaucer and others as his attorneys, to take seisin for him of certain lands in Kent, of which he had been enfeoffed by the Archbichop of York.","Close Roll, 19 Ric. II., m. 8 d (Kirk, 319-20).",,
vol1_p12_a10,Vol.1,p12,"1398, May 20",,"Action of Debt in the Common Pleas by Isabella, widow and administratrix of Walter Bukholt, Esquire, against Geoffrey Chaucer, Esquire, for £14 1s. 11d.; and against John Goodale of Milleford, for £12 8s. The Sheriff of Middlesex returns that they have nothing [in his bailwick], and he is ordered to arrest them.","De Banco Roll, Easter, 21 Ric. Il., m. 368 d (Kirk, 321, and note 1, 322; see also the Athenæum, Sept. 13, 1879, p. 338).",,
vol1_p13_a1,Vol.1,p13,"1398, May 4",,"Royal protection for Chaucer, who has been appointed by the King to attend to many urgent affairs, but fears to be hindered by plaints or suits; to last for two years.","Patent Roll, 21 Ric. II., p. 3, m. 26 (Kirk, 322. Rymer, vol. viii, p. 39. Godwin, App. xxiv).",,
vol1_p13_a2,Vol.1,p13,"1398, June 12-July 4",,"Action of Debt by Isabella Bukholt against Chaucer and Goodale. The Sheriff returns that they have not been found, and it is ordered that they be arrested.","De Banco Roll, Trin., 21-22 Ric. II., m. 431 d (Kirk, 324).",,
vol1_p13_a3,Vol.1,p13,"1398, Oct. 9-Nov. 28",,"Action of Debt by Isabella Bukholt against Chaucer and Goodale. The Sheriff returns that they have not been found, and he is ordered to put them in exigent, till they are outlawed, if not found.","De Banco Roll, Mich., 22 Ric. II,, m. 228. (Kirk, 324).",,"[Kirk states that no later entry ot this action has been found, therefore we may take it for granted that it did not come to a trial.]"
vol1_p13_a4,Vol.1,p13,"[1398,] Oct. 13",,"Petition by Chaucer to the King, asking for the grant of a butt of wine yearly to be received in the Port of London, by the hands of the Chief Butler. Warrants, Chancery, series I, file 1394 (Kirk, 325).","Warrants, Chancery, series I, file 1394 (Kirk, 325).",,"[See also W. D. Selby in the Athenæum, Jan. 28, 1888, p. 116.]"
vol1_p13_a5,Vol.1,p13,"1398, Oct. 13",,"Grant to Chaucer of a butt of wine yearly, as above.","Patent Roll, 22 Ric. Il, p. 1, m. 5 (Kirk, 325. Rymer, vol. viii, p. 51).",,
vol1_p13_a6,Vol.1,p13,"1398, Oct. 15",,"Another grant of the same, with the addition of words, making the Chief Butler’s deputy responsible.","Patent Roll, 22 Ric. II., p. 1, m. 8 (Kirk, 325. Godwin, App. XXV).",,
vol1_p13_a7,Vol.1,p13,"1399, Oct. 13",,"Grant by Henry IV. to Chaucer, for good service rendered to the new King, of an annuity of 40 marks, in addition to the £20 given him by Richard II.","Patent Roll, 1 Hen. IV., p. 5, m. 12 (Kirk, 327. Godwin, App. xxvi).",,"[See note 1 on p. 327 ot Life Records where Kirk states that Chaucer does not appear to have reccived any benefit from this grant, as there aro no payments of this annuity on the Issue Rolls; but he continued to receive Richard II.'s annuity. See above under Feb. 28, 1394. It may be noted that tho last day of Richard's reign was Sept. 20, 1399.]"
vol1_p13_a8,Vol.1,p13,"1399, Oct. 18",,"Confirmation by Henry IV. to Chaucer of Richard II.'s two patents of 20 marks and a butt of wine yearly (see above under Feb. 28, 1394, Oct. 13, 1398), he having accidentally lost the original patents.","Patent Roll, 1 Hen. IV., p. 1, m. 18 (Kirk, 327-8. Rymer, vol viii, p. 94. Godwin, App. xxvii).",,
vol1_p13_a9,Vol.1,p13,"1399, Oct. 21",,Inspeximus and confirmation of the preceding confirmation.,"Patent Roll, 1 Hen. IV., p. 1, m. 8 (Kirk, 328).",,
vol1_p13_a10,Vol.1,p13-14,"1399, Dec. 24",,"Lease by the Warden of St. Marys Chapel in Westminster Abbey, to Chaucer, of a tenement situate in the garden of the Chapel for 53 years, of the yearly rent of 53s. 4d.; terminable at Chaucer's death. The lessee covenants to repair, and not to sublet, nor to harbour any one having claims against the Abbey, without the Warden's licence.","Muniments of Westminster Abbey (Kirk, 329-30. Godwin, App. xxviii).",,
