ID,Volume,Part,Page,Date,Author,Title,Imprint,Quotation,Headnote
part2_p11_a1,Vol.2,Part II,p11,1803.,"Leyden, John.",Scenes of Infancy.,"See below, App. A.",,
part2_p11_a2,Vol.2,Part II,p11,1803.,"Malcolm, James Peller.","Londinium Redivivum,","4 vols., 1802-7, vol. ii, 1803, pp. 11, 329-30.","[p. 330] [A note (from Stowe) that Richard Chaucer was usually
considered father to the poet, and citation of Granger (q.v.
above, 1769, vol. i, pp. 431-2) that his verse, musical to his con¬
temporaries, was unsuited to the ears of the present age. Then
follows a notice of the portrait in Hoccleve.]",
part2_p11_a3,Vol.2,Part II,p11-12,1803.,"Southey, Robert.","Letter to C. W. W. Wynn,","dated June 9, 1803. (Life and Correspondence of Robert Southey, 1850, vol. ii, P 212.)","[Southey says he has just been reading Scott's Border
Ballads.] Scott, it seems, adopts the same system of metre
with me, and varies his time in the same stanza from iambic
to anapæstic ad libitum. In spite of all the trouble that
has been taken to torture Chaucer into heroic metre, I have
no doubt whatever that he wrote upon this system, common
to all the ballad writers. Coleridge agrees with me upon
this. The proof is, that, read him thus, and he becomes
everywhere harmonious; but expletive syllables, en's and y's
and e's, only make him halt upon ten lame toes. I am now
daily drinking at that pure well of English undefiled, to get
historical manners, and to learn English and poetry.",
part2_p120_a1,Vol.2,Part II,p120,1819.,Unknown.,"Review of Campbell's Specimens of English Poetry,","[in] Blackwood’s Edinburgh Magazine, March 1819, vol. iv, pp. 698, 702-4. [For Campbell, see above, 1819.]","[Quotations from Campbell’s passages on Chaucer, with the
comment, p. 704:]
The existence of the works of Chaucer changes, it may be
said, to our apprehension, the whole character of the age—
raising up to our mind an image of thoughtful, intellectual
cultivation, and of natural and tender happiness in the sim¬
plicity of life, which would otherwise be wanting in the dark
stern picture of warlike greatness and power.",
part2_p120_a2,Vol.2,Part II,p120,1819.,Unknown.,"Review of Crabbe's Tales of the Hall,","[in] The Gentle man’s Magazine, July, vol. lxxxix, p. 46.","Ever since “The Canterbury Tales"" of Chaucer, poets who
have dealt much in narrative have generally been anxious to
string together their tales by some connecting chain, however
slight. The “Tales of the Hall"" are in this respect quite
dramatic.","[For Crabbe on this point, see above, 1812.]"
part2_p120_a3,Vol.2,Part II,p120,[a. 1819.],"Watt, Robert.",Bibliotheca Britannica;,"in Two Parts :— Authors and Subjects. Edinburgh, 1824, volume i.— Authors, p. 218 d-t, Chaucer, Jeffery; volume iii.—Subjects, sign. 2 J 2: Chaucer, Jeffery.",,"[Watt died 12th March, 1819, when only a few sheets had been printed off. The book appeared in parts, Glasgow, 1819-20, and the complete work has title-pages dated 1824. See D.N.B.]"
part2_p121_a1,Vol.2,Part II,p121,1819.,"Webb (or Webbe), Cornelins.","Sonnet: To Italy,","[in] Sonnets, Amatory, Incidental, and Descriptive, by Cornelius Webb, 1820, p. 15.","XXV.—To Italy.
On C—S L—H's (i.e. Chandos Leigh’s) Visit to
Rome in 1819.
Old Chaucer loved thee [Italy] for Boccaccio's stories–",
part2_p121_a3,Vol.2,Part II,p121-122,1820.,"Collier, John Payne.","The Poetical Decameron, or, Ten Con versations on English Poets and Poetry, particularly of the Reigns of Elizabeth and James I,","2 vols., vol. i, pp. xxi, 81, 297; vol. ii, pp. 165, 166.","[vol. i,
p. xxi.]
""For out of the old fields, as men saith,
Cometh all this new corn fro year to year,
And out of old books, in good faith,
Cometh all this new science that men lere;""
is the language of Chaucer in his ""Assembly of Foules""
[Parlement of Foules, ll. 22-5], and if it were true at the time
he wrote how much more likely is it to be true at the time
when we are speaking?
. . . . . . . . . .
[p. 31] Morton. There is a passage in Ascham’s Schoolmaster, which
expressly alludes to the admirers and imitators of Petrarch...
""Some (he says) that make Chaucer in English, and Petrarch
in Italian, their gods in verses,... would needs be counted
like unto him."" [See vol. i, pp. 97, 98, above.]
. . . . . . . . . .
[p. 297] Morton.  Chaucer, in his Man of Law's Tale, I remember,
has a pretty passage in praise of a good woman:
""In her is hie beautie, without pride...
Her honde minister of fredome & almes.""
[ll. 162-8.]
Bourne.  But that is by no means equal to his description
of a good and obedient wife, and the comfort to be derived
from her, in his Merchant's Tale:
""A wife! ah saint Mary benedicite!
How might a man haue any aduersitie
And so on for about ten lines farther, but my memory does not
That hath a wife.""—
serve me to repeat them.
[p. 298]
Elliot.  I recollect it goes on thus–
—""Certes I can not say
The blisse that is betwixt hem twey.""—
But the wife of Bath could have told him.
Morton.  You have a knack of finding out ambiguities
never dreamt of by the pure simplicity of the author:
— Ævo rarissima nostro
Bourne.  Chaucer's “pure simplicity,"" as you call it, upon
Simplicitas.
those subjects is very questionable.
[vol. ii,  Bourne... Did you ever hear of a separate printed poem
. . . . . . . . . .
p. 165]
by William Painter; I mean unconnected with ""the Palace
of Pleasure?”
Morton.  Certainly never.
[p. 166] was shown me not long since... The title page is wanting,
Bourne.  Yet such a poem, or rather collection of poems,
but the running-title is ""Chaucer painted:"" why it is so
called I cannot guess, as in the cursory view I had of the
book I saw nothing that had any relation to Chaucer: the
greater portion was proverbs strung together in four-line
stanzas. Towards the end was a poem lamenting the de¬
generacy of shepherds, and an anagram on the mother of the
author, Jone Clark. [See above, 1623, vol. i, p. 198.]",
part2_p122_a1,Vol.2,Part II,p122,[c. 1820.],"Emerson, Ralph Waldo.",Journal.,"[Quoted in the Biographical Sketch in his Works, Centenary Edition, 1903, vol. i, p. xvi.]","[Alluding to himself in his Journal, he writes of] the
youth who has no faculty for mathematics and weeps over
the impossible analytical geometry, to console his defeats with
Chaucer and Montaigne, with Plutarch and Plato at night.",
part2_p122_a2,Vol.2,Part II,p122-123,1820.,"H., R.","On the Connexion between the Character and Poetry of Nations,","[in] The London Magazine, Oct., 1820, pp. 423-4.","[The works of Gower, Chaucer, and Langlande are strongly
[p. 424] characteristic of their times; love and arms being their
principal occupations, form the basis of their poetry, which
seldom aims at more than the amusement of the reader.]
We may fairly take Chaucer as the poet of the age we are
now describing, and we shall find all the ingredients of the
character of that age collected in his works: his Canterbury
Tales are full of broad but not deep feeling-replete with
humour and waggery, and thus well calculated to attract the
attention of a people whose simplicity was full of archness.
Let us suppose that the works of Collins had been put into
the hands of one of Chaucer's cotemporaries, and that his eye
rested on that immortal ‘ode on the Poetical Character;’
how completely unintelligible it must have been to him.",
