ID,Volume,Page,Date,Date_certainty,Author,Title,Imprint,Quotation,headnote
part1_p65_a1,Vol.1,p65,[c. 1492],low,"Pynson, Richard.",Prohemye,"(signed) by Pynson to his edn. of Chaucer’s Canterbury tales, sign. a i and a i b.",,"[This is really Caxton's 'prohemye' as it is his edition, see above, pp. 61-3; see below, p. 76, 1526, Pynson, where the differences between the two are pointed out; there is very little variation between the prohemye as given by Pynzon in 1492 and in 1526.]"
part1_p65_a2,Vol.1,p65,1498,high,"Chaucer, Geoffrey",The boke of Chaucer named Caunterbury tales.,sign. ... iii b.,"[col.] Here endyth the boke of the tales of Caunterbury
Compiled by Geffray Chaucer / of whoos Soule Criste haue
mercy. Emprynted at Westmestre by Wynkin de Word yᵉ
yere of our lord. M.CCCC.lxxxxviii.","[See Index to early printed books, by R. Proctor, 1898, etc., no. 9710. The edition of the Canterbury Tales of Wynkyn de Worde, 1495, referred to by Ritson in Bibliographia Poetica, p. 20, Lowndes, Ames, Tyrwhitt and others, is almost certainly non-existent, and comes apparently from a misprint in Ames, who follows Bagford, see Chaucer, a bibliographical manual, by E. P. Hammond, N. York, 1908, pp. 203, 543.]"
part1_p18_a1,Vol.1,p18,[1406-13],medium,"Edward, 2nd duke of York.",Here begynneth.... the Book of Huntyng the which is clepyd Mayster of the Game.,"MS. Cott. Vesp. B. xii, f. 12 b. (The Master of the Game, ed. Wm. A. and F. Baillie-Grohman, 1904, p. 3.)","The Prologe [to King Henry IV].
... þough I vuworþi be I am Maister of this game wiþ
þat noble prince your fadere oure aldere souereyne and liege
lord forsaid. And for I ne wold þat his hunters ne yours þat
now be or shuld come here aftir weren vnknowe in þe profite¬
nesse of þis art for þi shall I leue this symple memorial
ffor as Chaucer saiþ in this prologe of the XXV good wymmen.
Be wryteng haue men of ymages passed for writyng is þe keye
of alle good remembraunce.
[Prologue to Legend of Good Women, ll. 25-6.]",
part1_p19_a1,Vol.1,p19,"1409, May 20",high,N/A,The seal of Geoffrey Chaucer used by Thomas Chaucer at this date.,"Ancient Deeds, DS. 79 (Life-Records of Chaucer, ed. Kirk, 1900, p. 433, and Archæologia, 1852, vol. xxxiv, p. 42).",,
part1_p46_a4,Vol.1,p46,[c. 1445?],low,"[De la Pole, William, Duke of Suffolk?]",N/A,"See below, Appendix A.",,
part1_p58_a1,Vol.1,p58,[1477-8],medium,"Chaucer, Geoffrey","Parlement of Foules, Gentilesse, Truth, Fortune, Envoy to Scogan.","No title-page, date, or place of publication.]",,"[Printed by Willlam Caxton, imperfect, two copies only known, B. M. and Camb. Univ. library. For description by Mr. Bradshaw of the Cambridge copy see Trial forevords to Parallel text of Chaucer's minor poems, ed. F. J. Furnivall, Chaucer soc. [1871], pp. 116-18. See also Life of Caxton by William Blades, 1861-3, vol. ii, pp. 61-3; Index to carly printed books by R. Proctor, 1898, etc., no. 9629. Gentilesse is here printed as part of Scogan's Moral ballad, c. 1407, q. v. above, pp. 18-19. The copy mentioned by Blades and other bibliographers as being at the Grammar-school of St. Albans, is the one now in the B. M.]"
part1_p58_a1,Vol.1,p58,[1477-8],medium,"Chaucer, Geoffrey","Anelida and Arcite, compleynt of chaucer vnto his empty purse.","No title-page, date, or place of publication.] (A facsimile reprint was issued in 1905, by the Camb. Univ. press.)",,"[Printed by William Caxton, small 4°., unique copy, Camb. Univ. lib. For description see Trial forewords to Parallel text of Chaucer's minor poems, ed. F. J. Furnivall, Chaucer soc. [1871], p. 118. See also Life of Caxton by William Blades, 1861-8, vol. ii, pp. 64-6.]"
part1_p58_a3,Vol.1,p58,[1477-8],medium,"Chaucer, Geoffrey",Canterbury Tales.,"No title page or colophon, printed by William Caxton.]",,"[Two copies in B. M., also several in other libraries. See for description Life of Caxton, by William Blades, 1861-3, vol. ii, pp. 45-7; also Index to early printed books by R. Proctor, 1898, etc., no. 9626.]"
part1_p58_a4,Vol.1,p58,[a. 1479].,low,"Chaucer, Geoffrey",Boethius de consolacione Philosophie....,[colophon.] Geffrey Chaucer hath translated....I William Caxton have done my deuoir to enprinte it. [No date or place of publication.],,"[For description see Life of Caxton by William Blades, 1861-3, vol. ii, pp. 66-71; and Index to early printed books, by R. Proctor, 1898, etc., no. 9630.]"
part1_p60_a3,Vol.1,p60,[c. 1483,low,"Chaucer, Geoffrey",Troylus and Creseyde].... Here endith Troylus as touchyng Cresede.,Explicit per Caxton. [No title or date.],,"[See for description, Life of Caxton, by William Blades, 1861-3, vol. ii, pp. 169-70, and Index to early printed books, by R. Proctor, 1898, etc. no. 9664.]"
part1_p61_a1,Vol.1,p61,[c. 1483].,low,"Chaucer, Geoffrey",The book of Fame made by Gefferey Chaucer.,"[No title, the above is the beginning of the text, sign. a ij. [col.] Emprynted by wylliam Caxton. [No date or place of publication.]",,"[See for description, Life of Caxton, by William Blades, 1861-3, vol ii, pp. 165-7; and Index to early printed books by R. Proctor, 1898, etc., no. 9662.]"
part1_p61_a3,Vol.1,p61,[c. 1483?,low,"Chaucer, Geoffrey",Canterbury Tales....,"No title, date, or pagination.] (Printed by William Caxton, 2nd edn.)",,"[See for description, Life of Caxton, by William Blades, 1861-3, vol. ii, pp. 162-4; and Index to early printed books by R. Proctor, 1898, etc., no. 9661.]"
part1_p64_a2,Vol.1,p64,[c. 1492],low,"Chaucer, Geoffrey",The boke of the tales of Canterburie.... by W. Caxton.,Printed by] R. Pynson.,,"[See Index to early printed books, by R. Proctor, 1898, etc., no. 9780.]"
part1_p65_a3,Vol.1,p65,[1499-1502],medium,"Chaucer, Geoffrey",The Loue and complayntes bytwene Mars and Venus.... Here foloweth the counceyll of chaucer touchyng Maryag....,Thys in pryntyde in Westmoster inkyng strete. Per me Julianus Notarii.,,"[Unique copy in Britwell library. See under 1445, headline to Marriage or Bakton given from this edn., p. 47 above.]"
