ID,Volume,Part,Page,Date,Author,Title,Imprint,Quotation,Headnote
supp_p87_a3,Supplement,,p87-88,1881.,"Kelly, E. R. (editor)","Kelly's Directory of Nottinghamshire, Leicestershire and Rutland and Derbyshire,","fifth edition, London, 1881. Under Leicestershire, p. 504, col. i.","Castle Donington.
[p. 503,
There was anciently a castle on the north-east side of the
col. 2]
town, of which some remains still exist . . . it was built
[p. 504] by Henry Laci, Earl of Lincoln (who died in 1310): Clark,
in his ""Riches of Chaucer,"" says it was once the residence
of that poet, being presented to him for his life by his brother-
in-law ""John of Gaunt."" . . . The deer park embraces
400 acres of romantic scenery; the oak trees are a great
attraction, one ""Chaucer's Oak"" being 44 ft. girth, at a
height of 12 ft. from the ground.
[These remarks about Chaucer first occur in this edition,
not in any earlier one (1848 ff.). They are identical in the
sixth edition of 1888. In the seventh edition, 1891, the
remark from Cowden Clark is omitted, and that about
'Chaucer's Oak' only retained, which latter remark is to be
found also in the current edition of 1912, p. 55, col. 2.]",
supp_p88_a1,Supplement,,p88,1881.,"Horwood, Alfred J.","Report [in] Eighth Report of the Royal Commission on Historical Manuscripts,","Appendix, Part I, London, 1881, pp. 226, 233-4, 624, 628, 630.","The Manuscripts of the College of Physicians, Pall Mall
East, London. . . . .
[pp.
D. 9. Square folio, 15th century. Chaucer's Canterbury
233-34]
Tales. After the Introduction the Knight's Tales is headed
Jamque domos patria Scithiæ post aspera gentis prælia
lamigero.""
Plowman's Tale not included, Prioresses Tale imperfect,
Persones Tale incomplete.]
The Manuscripts belonging to the Ewelme Almshouse,
in the County of Oxford. ...
[p. 624] References to Thomas Chaucer, by marriage, lord of the
manor of Ewelme and his daughter, Alice, Duchess of
Suffolk.]
[p. 628] [A. 46. A paper endorsed ""Yᵉ demande of Sir John
Boteler, knt., for a stone wall in Berwyk."" Concerning the
stones of a wall sold to Thomas Chaucer and used to repair
Ewelme church.
[p. 630] [E. 10. Sketch of inscription for the Chaucer tomb. (Not
given.)]",
supp_p88_a2,Supplement,,p88,1881.,"Horwood, Alfred J.","Report [in] Ninth Report of the Royal Commission on Historical Manuscripts,","Appendix, Part II. London, 1884, p. 363.","The Manuscripts of the Right Honourable the Earl of
Leicester, Holkham Hall, Norfolk. ...
667. Square folio, vellum, fifteenth century,—Chaucer's
Canterbury Tales. [Description of MS. and contents.]
[As Mr. A. J. Horwood died in 1881, this date is given to
his report, rather than 1884, the date of publication.]",
supp_p88_a3,Supplement,,p88,1881.,"Knowles, R. B.","Report [in] Eighth Report of the Royal Com mission on Historical Manuscripts,","Appendix, Part III, London, 1881, p. 106.","[The manuscripts of the Earl of Ashburnham. . . . Nos.
124, 125, 126, 127, MSS of the Canterbury Tales. No. 128.
was John Urry's collections for his edition of Chaucer.]",
supp_p89_a1,Supplement,,p89,1881.,"Poole, Henry.",Westminster Abbey: A Study on Poets' Corner,"[in] The Antiquary, October 1881, vol. iv, pp. 137-9.","Having alluded to the probability that the table-tomb of
Chaucer was once against the screen of St. Benedict's Chapel,
it may not be inopportune here to follow out the probable
story of it.
The tomb proper is evidently due to the period of the death
of Chaucer. Its quatre-foils bear his shield of arms, and
around at least three of the sides with the verge moulding,
which probably bore a painted inscription. In 1556, there
was perhaps some necessity for totally removing the tomb, of
which advantage was taken by Chaucer's admirer, Nicholas
Brigham, to place it where it now is, and add to it a handsome,
though debased, canopy of Purbeck marble, and also a similar
marble slab, with a new inscription in Latin, that of the
marble table having become decayed and illegible. This slab
has undergone great decay and disintegration, so much so as
to almost totally obscure the inscription, as reported by Neale
in 1823. Fifty years' more disintegration followed with still
further obscuration, when the writer closely scrutinized and
cleansed the slab, discovering traces of all the letters but four,
Without any attempt to strengthen the engraving, the lettering
was developed by painting all the remaining traces with gold-
coloured paint, and with the same pigment reproducing the
four absent letters; and now the inscription of 1558 is quite
distinct and perfectly durable.
The table of the tomb has lately been fully cleansed of dirt
and adhesions, beneath which the moulding, as well as much
much of the surface, was found still to retain its original
polish, which the adhesion had preserved. Now the table
displays a fine specimen of the best Purbeck marble, which
need never become dull again.",
supp_p8_a1,Supplement,,p8,1870.,"Clarke, Frederick.",The Canterbury Tales of Geoffrey Chaucer:,"Done into Modern English, 1870.","[Preceded by a short account of the life of Chaucer, a
modern rendering of ""The Canterbury Tales,"" is given side by
side with the original.]",
supp_p8_a2,Supplement,,p8,1870.,"Furnivall, F. J.","Early English Text Society. Sixth Report of the Committee,","January, 1870, pp. 10, 13, 36.",[Brief mentions.],
supp_p8_a3,Supplement,,p8,1870.,"Horwood, Alfred J.","Report [in] First Report of the Royal Commission on Historical Manuscripts,","Appendix, London, 1870, p. 61.","Helmingham Hall: the Seat, in Suffolk, of John Tolle¬
mache, Esq., M.P. . . .
PS.—A MS. of some of Chaucer's poems has been lent to
Mr. Bradshaw, Librarian of University Library, Cambridge.",
supp_p8_a4,Supplement,,p8-12,1870.,"Lowell, James Russell.","Essay on Chaucer in My Study Windows,","1871, reprinted from North American, 1870. (Riverside edition of Works, London, 1890, vol. iii, pp. 293, 299, 300.","[p. 293] . . . It is good to retreat now and then beyond earshot of
the introspective confidences of modern literature, and to lose
ourselves in the gracious worldliness of Chaucer. Here was
a healthy and hearty man, so genuine that he need not ask
whether he were genuine or no, so sincere as to quite forget
his own sincerity, so truly pious that he could be happy in
the best world that God chose to make, so humane that he
loved even the foibles of his kind. Here was a truly epic
poet, without knowing it, who did not waste time in consider¬
ing whether his age were good or bad, but quietly taking it for
granted as the best that ever was or ever could be for him,
has left us such a picture of contemporary life as no man ever
painted. 'A perpetual fountain of good sense,' Dryden calls
him, yes, and of good humor, too, and wholesome thought.
. . . . . . . . . .
It is not the finding of a thing, but the making something
out of it after it is found, that is of consequence. Accord¬
ingly, Chaucer, like Shakespeare, invented almost nothing.
. . . . . . . . . .
[p. 322] Chaucer . . . drew from the South a certain airiness of
sentiment and expression, a felicity of phrase, and an elegance
of turn hitherto unprecedented and hardly yet matched in
our literature, but all the while kept firm hold of his native
soundness of understanding, and that genial humour which
seems to be the proper element of worldly wisdom. With
Dante, life represented the passage of the soul from a state
of nature to a state of grace; . . . With Chaucer, life is a
pilgrimage, but only that his eye may be delighted with the
varieties of costume and character. There are good morals
to be found in Chaucer, but they are always incidental.
With Dante the main question is the saving of the soul, with
Chaucer it is the conduct of life.
. . . . . . . . . .
[p. 324-5] Chaucer is the first who broke away from the dreary
traditional style, and gave not merely stories, but lively
pictures of real life as the ever-renewed substance of poetry.
He was a reformer, too, not only in literature, but in morals.
But as in the former his exquisite tact saved him from all
eccentricity, so in the latter the pervading sweetness of his
nature could never be betrayed into harshness and invective.
... There is no touch of cynicism in all he wrote.
Dante's brush seems sometimes to have been smeared with
the burning pitch of his own fiery lake. Chaucer's pencil is
dipped in the cheerful colour-box of the old illuminators, and
he has their patient delicacy of touch, with a freedom far
beyond their somewhat mechanic brilliancy.
. . . . . . . . . .
[p. 331] It is not in detached passages that his charm lies, but in
the entirety of expression and the cumulative effect of many
[p. 332] particulars working towards a common end. . . . For we
should always bear in mind that the really great writer
is great in the mass, and is to be tested less by his cleverness
in the elaboration of parts than by that reach of mind which
is incapable of random effort, which selects, arranges, com¬
bines, rejects, denies itself the cheap triumph of immediate
effects, because it is absorbed by the controlling charm of
proportion and unity.
[p. 336] One of the world's three or four great storytellers, he was
. . . . . . . . . .
also one of the best versifiers that ever made English trip and
sing with a gaiety that seems careless, but where every foot
beats time to the tune of the thought. By the skilful arrange¬
ment of his pauses he evaded the monotony of the couplet,
and gave to the rhymed pentameter, which he made our
heroic measure, something of the architectural repose of
blank verse. He found our language lumpish, stiff, unwilling,
too apt to speak Saxonly in grouty monosyllables; he left it
enriched with the longer measure of the Italian and Provençal
poets.
[p. 337] [He first made our language easy] and to that extent
. . . . . . . . . .
modern, so that Spenser, two hundred years later, studied
his method and called him master. He first wrote English;
and it was a feeling of this, I suspect, that made it fashionable
in Elizabeth's day to 'talk pure Chaucer.'
[p. 353] [Chaucer is a great narrative poet.] The power of diffusion
. . . . . . . . . .
without being diffuse would seem to be the highest merit of
narration, giving it that easy flow which is so delightful.
Chaucer's descriptive style is remarkable for its lowness of
tone—for that combination of energy with simplicity which
is among the rarest gifts in literature. Perhaps all is said in
saying that he has style at all, for that consists mainly in the
absence of undue emphasis and exaggeration, in the clear
uniform pitch which penetrates our interest and retains it,
where mere loudness would only disturb and irritate.
Not that Chaucer cannot be intense, too, on occasion; but
it is with a quiet intensity of his own, that comes in as it
were by accident. . . .
Pandarus, looking as Troïlus,
'Took up a light and found his countenance
As for to look upon an old romance.'
With Chaucer it is always the thing itself and not the
description of it that is the main object. His picturesque bits
are incidental to the story, glimpsed in passing; they never
stop the way. His key is so low that his high lights are never
obtrusive.
[p. 356] Chaucer never shows any signs of effort, and it is a main
. . . . . . . . . 
proof of his excellence that he can be so inadequately sampled
by detached passages—by single lines taken away from the
connection in which they contribute to the general effect
He has that continuity of thought, that evenly prolonged
power, and that delightful equanimity, which characterise
the higher orders of mind. There is something in him of the
disinterestedness that made the Greeks masters in art. His
[p. 357] phrase is never importunate. His simplicity is that of
elegance, not of poverty. The quiet unconcern with which he
says his best things is peculiar to him among English poets,
though Goldsmith, Addison, and Thackeray have approached
it in prose.
. . . . . . . . . .
When Chaucer describes anything, it is commonly by one
of those simple and obvious epithets or qualities that are so
easy to miss. Is it a woman? He tells us she is fresh, that
she has glad eyes. . . . Sometimes he describes amply by the
merest hint, as where the Friar, before setting himself softly
down, drives away the cat. We know without need of more
words that he has chosen the snuggest corner.
. . . . . . . . . .
[p. 360] Chaucer seems to me to have been one of the most purely
[p. 361] original of poets, as much so in respect of the world that is
about us as Dante in respect of that which is within us.
There had been nothing like him before, there has been
nothing since. He is original, not in the sense that he thinks
and says what nobody ever thought and said before, and what
nobody can ever think and say again, but because he is always
natural; because, if not always absolutely new, he is always
delightfully fresh, because he sets before us the world as it
honestly appeared to Geoffrey Chaucer, and not a world as it
seemed proper to certain people that it ought to appear.
. . . . . . . . . .
[p. 365] In spite of some external stains, which those who have
studied the influence of manners will easily account for
without imputing them to any moral depravity, we feel that
we can join the pure-minded Spenser in calling him 'most
sacred, happy spirit.' If character may be divined from
works, he was a good man, genial, sincere, hearty, temperate
of mind, more wise, perhaps, for this world than the next, but
thoroughly humane, and friendly with God and men. I know
not how to sum up what we feel about him better than by
saying (what would have pleased most one who was indifferent
to fame) that we love him more even than we admire.
1870. Purves, D. Laing. The Canterbury Tales and Fairie Queene:
with Other Poems of Chaucer and Spenser. Edited for Popular
Perusal (Edinburgh, 1870).
[Preceded by a Preface, mentioning that the object of the
volume is to place before the general reader the Canterbury
Tales and Fairie Queene in a way that will render their
""popular perusal"" easy. Followed by a Life of Chaucer and
some remarks on his poems.]",
supp_p90_a1,Supplement,,p90,1881.,"Rye, Walter.",A Tabular Statement of what has hitherto been found out as to the Family of Chaucer of London.,"Selhurst. 2. 7. 1881 [i.e. July 2, 1881].",,
